Category	Dates	Chlorophyll a [µg/L]	Salinity	Temperature (°C)	Depth
SRN3 Dunkerque	2009-04-29	9.14	34.5	9.4	0.5
SRN3 Dunkerque	2009-05-19	5.38	34.6	11.1	0.5
SRN3 Dunkerque	2009-06-08	1.23	34.6	12.3	0.5
SRN3 Dunkerque	2009-06-25	2.48	34.6	16.7	0.5
SRN3 Dunkerque	2009-07-28	3.83	34.5	18.2	0.5
SRN3 Dunkerque	2009-08-26	2.58	35	19.3	0.5
SRN3 Dunkerque	2009-09-08	2.51	35		0.5
SRN4 Dunkerque	1998-09-21			16.5	0.5
SRN4 Dunkerque	1998-11-23	0.34	32.25		0.5
SRN4 Dunkerque	1998-12-08	1	34.46	7	0.5
SRN4 Dunkerque	1999-01-21	1	34.32	8.5	0.5
SRN4 Dunkerque	1999-02-16	2.8	33.68	6.4	0.5
SRN4 Dunkerque	1999-03-04	2.8	34.21	7.8	0.5
SRN4 Dunkerque	1999-03-17	4.21	34.39		0.5
SRN4 Dunkerque	1999-04-08	14.8	34.22	9.4	0.5
SRN4 Dunkerque	1999-04-19	16.2	34.06	9.8	0.5
SRN4 Dunkerque	1999-05-10	14.5	34.12	13.2	0.5
SRN4 Dunkerque	1999-05-27	3.8	34.19	13.9	0.5
SRN4 Dunkerque	1999-06-16	5.1	34.39	14.8	0.5
SRN4 Dunkerque	1999-08-18	0.3	34.7	19.2	0.5
SRN4 Dunkerque	1999-10-12	2.4	34.55		0.5
SRN4 Dunkerque	2000-09-19	4.81	33.87		0.5
SRN4 Dunkerque	2001-01-30	3.4	34.1	16.6	0.5
SRN4 Dunkerque	2002-08-06	2.69	34.2	18.2	0.5
SRN4 Dunkerque	2002-09-18	3.87	33.3	18.4	0.5
SRN4 Dunkerque	2002-10-30	1.74	34.6	13.6	0.5
SRN4 Dunkerque	2002-11-20	0.17	34.2	12.7	0.5
SRN4 Dunkerque	2002-12-18	0.32	34.1	8.7	0.5
SRN4 Dunkerque	2003-02-13		34.1	5.9	0.5
SRN4 Dunkerque	2003-03-19	12.4	34	6.8	0.5
SRN4 Dunkerque	2003-04-24	4.25	33.7	9.3	0.5
SRN4 Dunkerque	2003-06-03	2.67	34.3	13.5	0.5
SRN4 Dunkerque	2003-06-17	1.51	34.37	15.26	0.5
SRN4 Dunkerque	2003-07-08	3.3	34.42	17	0.5
SRN4 Dunkerque	2003-08-28	2.21	34.8	19.7	0.5
SRN4 Dunkerque	2003-09-09	2.57	34.9		0.5
SRN4 Dunkerque	2003-11-28	0.91	34.9		0.5
SRN4 Dunkerque	2001-01-30		34.33	6.6	0.5
SRN4 Dunkerque	2001-02-19	12.6	33.43	7.9	0.5
SRN4 Dunkerque	2001-03-08	4.2	34.15	6.7	0.5
SRN4 Dunkerque	2001-03-22	4.2	34.05	7.5	0.5
SRN4 Dunkerque	2001-04-25	8.7	33.78	9.3	0.5
SRN4 Dunkerque	2002-04-19	4.76	32.7	10.1	0.5
SRN4 Dunkerque	2002-05-31	7.59	34.4	13.6	0.5
SRN4 Dunkerque	2002-07-17	6			0.5
SRN4 Dunkerque	1997-08-20	3.1	35.02	22	0.5
SRN4 Dunkerque	1997-09-11	2.64	34.32		0.5
SRN4 Dunkerque	1997-10-16	2.6	34.9	15	0.5
SRN4 Dunkerque	1997-11-25	3.2	34.91	10	0.5
SRN4 Dunkerque	1997-12-18	1.3	34.73	8	0.5
SRN4 Dunkerque	1998-01-21	0.9	34.47	7	0.5
SRN4 Dunkerque	1998-02-18	2.8	34.25	6	0.5
SRN4 Dunkerque	1998-03-10	14.6	34.63	8	0.5
SRN4 Dunkerque	1998-04-09	8.5	34.84	9.5	0.5
SRN4 Dunkerque	1998-04-28	7.5	34.95	10.6	0.5
SRN4 Dunkerque	1998-05-13	1.7	34.98	12	0.5
SRN4 Dunkerque	1998-05-26	1.1	34.88	13.4	0.5
SRN4 Dunkerque	1998-06-11	2.8	35.05	14.9	0.5
SRN4 Dunkerque	1998-08-06	1.6	35		0.5
SRN4 Dunkerque	1998-09-21	3.9	34.91		0.5
SRN4 Dunkerque	2004-07-21		35.7	17.2	0.5
SRN4 Dunkerque	2004-09-17	2.24	34.7	17.9	0.5
SRN4 Dunkerque	2004-10-26	2.4	34.7	14.4	0.5
SRN4 Dunkerque	2004-12-01	1.98	35	11	0.5
SRN4 Dunkerque	2005-02-28	1.5	32.4	4.7	0.5
SRN4 Dunkerque	2005-03-15	3.31	33.2	4.7	0.5
SRN4 Dunkerque	2005-03-25	2.24	34.8	6.2	0.5
SRN4 Dunkerque	2005-04-11	11.61	34.5	7.7	0.5
SRN4 Dunkerque	2005-05-19	5.28	33.4	11.4	0.5
SRN4 Dunkerque	2005-05-31	11.32	34.3	12.4	0.5
SRN4 Dunkerque	2005-06-09	3.2	34.1	14.1	0.5
SRN4 Dunkerque	2005-06-22	1.72	34.6	17	0.5
SRN4 Dunkerque	2005-07-27	4.3	34.4	17.5	0.5
SRN4 Dunkerque	2005-08-30	3.44	34.6		0.5
SRN4 Dunkerque	2006-06-28		34.1	16.6	0.5
SRN4 Dunkerque	2006-07-12	2.6	34.8	17.4	0.5
SRN4 Dunkerque	2006-08-09	2.94	34.9	19.1	0.5
SRN4 Dunkerque	2006-09-11	2.87	35	18.4	0.5
SRN4 Dunkerque	2006-11-30	0.47	34.5	12.9	0.5
SRN4 Dunkerque	2006-12-20	0.85	34.4	11.1	0.5
SRN4 Dunkerque	2007-02-06	1	34.4	8.2	0.5
SRN4 Dunkerque	2007-09-14			18	0.5
SRN4 Dunkerque	2007-10-16	1.71	34.1	15.9	0.5
SRN4 Dunkerque	2007-10-31	1.47	34.1	13.9	0.5
SRN4 Dunkerque	2007-11-19	1.75	33	10.6	0.5
SRN4 Dunkerque	2007-12-19	0.99	34.6	7.8	0.5
SRN4 Dunkerque	2008-02-07	1.54	35.2	8.5	0.5
SRN4 Dunkerque	2008-05-06	7.65	34.1	11.2	0.5
SRN4 Dunkerque	2008-06-17	3.19	33.8	15.6	0.5
SRN4 Dunkerque	2008-06-30	2.8	34.9	16.3	0.5
SRN4 Dunkerque	2008-07-22	1.14	35.1	17.1	0.5
SRN4 Dunkerque	2008-08-28	3.72	34.6	17.7	0.5
SRN4 Dunkerque	2008-09-16	4.24	34.1	17.1	0.5
SRN4 Dunkerque	2008-10-30	3.15	34.7	13.7	0.5
SRN4 Dunkerque	2009-01-15	1.63	33.8	5.2	0.5
SRN4 Dunkerque	2007-03-15	10.27	35.2	9.4	0.5
SRN4 Dunkerque	2007-05-24	0.78	35.1	13.4	0.5
SRN4 Dunkerque	2007-06-12	4.57	33.9	15	0.5
SRN4 Dunkerque	2007-07-13	1.37	34.7	16.8	0.5
SRN4 Dunkerque	2007-07-31	2.55	34.5	17.8	0.5
SRN4 Dunkerque	2007-08-30	3.78	34	18.5	0.5
SRN4 Dunkerque	2005-08-30			18.7	0.5
SRN4 Dunkerque	2007-09-14	5.9	34.2		0.5
SRN4 Dunkerque	2005-09-20	1.73	34.4	18.6	0.5
SRN4 Dunkerque	2006-01-17	1.08	34.5	6.9	0.5
SRN4 Dunkerque	2006-02-14	1.53	33.1	4.9	0.5
SRN4 Dunkerque	2006-03-14	5.32	33.6	5.4	0.5
SRN4 Dunkerque	2006-05-11	1.02	34.1	10.6	0.5
SRN4 Dunkerque	2006-06-07	2.36	34.1	12.7	0.5
SRN4 Dunkerque	2006-06-28	2.37			0.5
SRN4 Dunkerque	2003-11-28			11.6	0.5
SRN4 Dunkerque	2003-12-09	0.97	35.1	10.1	0.5
SRN4 Dunkerque	2004-03-04	2.61	33.6	5.5	0.5
SRN4 Dunkerque	2004-03-17	3.04	33.5	8.6	0.5
SRN4 Dunkerque	2004-04-14	9.53	34.5	8.6	0.5
SRN4 Dunkerque	2004-05-19	4.41	34.8	12.2	0.5
SRN4 Dunkerque	2004-06-02	2.04	34	14.5	0.5
SRN4 Dunkerque	2004-07-21	2.11			0.5
SRN4 Dunkerque	2010-02-24			4.8	0.5
SRN4 Dunkerque	2010-03-17	8.4	34.2	4.7	0.5
SRN4 Dunkerque	2010-03-30	11.47	35.2	6.6	0.5
SRN4 Dunkerque	2010-04-22	3.16	35	8.6	0.5
SRN4 Dunkerque	2010-05-18	3.49	33.3	11	0.5
SRN4 Dunkerque	2010-06-22	3.32	32.8	14.3	0.5
SRN4 Dunkerque	2010-06-30	2.92	33.1	16.1	0.5
SRN4 Dunkerque	2010-07-13	6.78	34	17.5	0.5
SRN4 Dunkerque	2010-08-11	2.72	35.2	18.4	0.5
SRN4 Dunkerque	2010-10-22	2.35	34.3	13.8	0.5
SRN4 Dunkerque	2010-12-07	1.15	34.6	8.7	0.5
SRN4 Dunkerque	2009-02-24	16.53	34.7	5.7	0.5
SRN4 Dunkerque	2009-03-31	4.71	34.2	7.8	0.5
SRN4 Dunkerque	2009-04-14	8.45	33.9	9.24	0.5
SRN4 Dunkerque	2009-04-29	7.36	34.1	10.7	0.5
SRN4 Dunkerque	2009-05-19	5.73	34.7	12.2	0.5
SRN4 Dunkerque	2009-06-08	1.02	34.7		0.5
SRN4 Dunkerque	2009-06-25	1.92	34.5	16.4	0.5
SRN4 Dunkerque	2009-07-28	3.84	34.5	18	0.5
SRN4 Dunkerque	2009-08-26	2.2	34.9	19.1	0.5
SRN4 Dunkerque	2009-09-08	2.95	35	18.1	0.5
SRN4 Dunkerque	2009-11-30	0.83	34.7	11.9	0.5
SRN4 Dunkerque	2009-12-16	1.23	35	10.1	0.5
SRN4 Dunkerque	2010-01-27	8.88	34.2	5.8	0.5
SRN4 Dunkerque	2010-02-24	4.37	34.3		0.5
